"Filepath","File","Name","Extension","Filesize","Created","Modified","Retrieved","Error"
"B:\13xx Ranch Buildings\1303 Barn G & Blacksmith\1303\MISC\File 1303 MiscJ2-2.TIF","File 1303 MiscJ2-2.TIF","File 1303 MiscJ2-2","tif",485610,"05/31/2019, 14:06:31","06/24/2008, 11:25:25","10/30/2019, 14:46:35",""
"B:\13xx Ranch Buildings\1310 Central Garage\1310-012\F - Bid Documents and Contract Award\F5 - Drawings and Specifications\File 1310-012.F5.Central Garage Addition.pdf","File 1310-012.F5.Central Garage Addition.pdf","File 1310-012.F5.Central Garage Addition","pdf",487596,"05/31/2019, 14:06:56","11/06/2015, 14:55:28","10/30/2019, 14:46:36",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311 01.pdf","File 1311 01.pdf","File 1311 01","pdf",6576004,"05/31/2019, 14:07:07","03/13/2008, 11:48:21","10/30/2019, 14:46:37",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311 02 with markups.pdf","File 1311 02 with markups.pdf","File 1311 02 with markups","pdf",2327616,"05/31/2019, 14:07:07","03/13/2008, 11:47:57","10/30/2019, 14:46:37",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311 02 with markups.zip","File 1311 02 with markups.zip","File 1311 02 with markups","zip",31248732,"05/31/2019, 14:07:07","03/13/2008, 11:49:48","10/30/2019, 14:46:37",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311 02.pdf","File 1311 02.pdf","File 1311 02","pdf",4542571,"05/31/2019, 14:07:07","03/13/2008, 11:48:35","10/30/2019, 14:46:37",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311 03.pdf","File 1311 03.pdf","File 1311 03","pdf",5304462,"05/31/2019, 14:07:07","03/13/2008, 11:48:15","10/30/2019, 14:46:37",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311 04.pdf","File 1311 04.pdf","File 1311 04","pdf",5299056,"05/31/2019, 14:07:07","03/13/2008, 11:47:42","10/30/2019, 14:46:37",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311 05.pdf","File 1311 05.pdf","File 1311 05","pdf",4875530,"05/31/2019, 14:07:07","03/13/2008, 11:48:10","10/30/2019, 14:46:37",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311 06.pdf","File 1311 06.pdf","File 1311 06","pdf",6010725,"05/31/2019, 14:07:07","03/13/2008, 11:48:04","10/30/2019, 14:46:37",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311 07.pdf","File 1311 07.pdf","File 1311 07","pdf",3985042,"05/31/2019, 14:07:08","03/13/2008, 11:48:28","10/30/2019, 14:46:37",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311.F5.C1 Door & Window Details.pdf","File 1311.F5.C1 Door & Window Details.pdf","File 1311.F5.C1 Door & Window Details","pdf",3729585,"05/31/2019, 14:07:08","11/04/2015, 13:43:40","10/30/2019, 14:46:37",""
"B:\13xx Ranch Buildings\1311 Granary Child Care\1311\F5 - Drawings and Specifications\PDF\File 1311.F5.C2 Door & Window Details.pdf","File 1311.F5.C2 Door & Window Details.pdf","File 1311.F5.C2 Door & Window Details","pdf",4396410,"05/31/2019, 14:07:08","11/04/2015, 13:44:28","10/30/2019, 14:46:37",""
